001, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
002, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
003, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
004, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
005, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
006, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
007, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
008, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
009, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
010, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
011, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
012, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
013, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
014, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
015, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
016, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
017, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
018, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
019, 6000, Ingenieria de software, Ingenieria de software, Ian sommerville
020, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
021, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
022, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
023, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
024, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
025, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
026, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
027, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
028, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
029, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
030, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
031, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
032, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
033, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
034, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
035, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
036, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
037, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
038, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
039, 6000, Ingenieria de software, Ingenieria de software,  Roger Pressma
040, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
041, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
042, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
043, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
044, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
045, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
046, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
047, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
048, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
049, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
050, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
051, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
